,Account,Yearmonthhour,Post,Treatment,PostTreatment,Avg_Metered_Amount
289,46189001,20180800,1,1,1,41.344
290,46189001,20180801,1,1,1,50.432
291,46189001,20180802,1,1,1,34.176
292,46189001,20180803,1,1,1,23.808
293,46189001,20180804,1,1,1,17.472
294,46189001,20180805,1,1,1,18.304
295,46189001,20180806,1,1,1,88.832
296,46189001,20180807,1,1,1,76.864
297,46189001,20180808,1,1,1,49.6
298,46189001,20180809,1,1,1,41.408
299,46189001,20180810,1,1,1,32.128
300,46189001,20180811,1,1,1,38.336
301,46189001,20180812,1,1,1,35.712
302,46189001,20180813,1,1,1,40.448
303,46189001,20180814,1,1,1,46.08
304,46189001,20180815,1,1,1,63.872
305,46189001,20180816,1,1,1,54.016
306,46189001,20180817,1,1,1,72.256
307,46189001,20180818,1,1,1,130.496
308,46189001,20180819,1,1,1,98.688
309,46189001,20180820,1,1,1,76.992
310,46189001,20180821,1,1,1,155.84
311,46189001,20180822,1,1,1,129.92
312,46189001,20180823,1,1,1,56.768
313,46189001,20180900,1,1,1,43.648
314,46189001,20180901,1,1,1,55.104
315,46189001,20180902,1,1,1,36.672
316,46189001,20180903,1,1,1,27.328
317,46189001,20180904,1,1,1,24.192
318,46189001,20180905,1,1,1,18.368
319,46189001,20180906,1,1,1,81.344
320,46189001,20180907,1,1,1,77.696
321,46189001,20180908,1,1,1,44.352
322,46189001,20180909,1,1,1,32.192
323,46189001,20180910,1,1,1,35.392
324,46189001,20180911,1,1,1,38.272
325,46189001,20180912,1,1,1,36.864
326,46189001,20180913,1,1,1,55.552
327,46189001,20180914,1,1,1,37.312
328,46189001,20180915,1,1,1,50.048
329,46189001,20180916,1,1,1,41.664
330,46189001,20180917,1,1,1,66.24
331,46189001,20180918,1,1,1,138.688
332,46189001,20180919,1,1,1,98.88
333,46189001,20180920,1,1,1,94.848
334,46189001,20180921,1,1,1,159.168
335,46189001,20180922,1,1,1,108.544
336,46189001,20180923,1,1,1,56.192
337,46189001,20181000,1,1,1,32.064
338,46189001,20181001,1,1,1,36.16
339,46189001,20181002,1,1,1,22.336
340,46189001,20181003,1,1,1,18.112
341,46189001,20181004,1,1,1,17.408
342,46189001,20181005,1,1,1,17.152
343,46189001,20181006,1,1,1,98.304
344,46189001,20181007,1,1,1,94.72
345,46189001,20181008,1,1,1,40.128
346,46189001,20181009,1,1,1,31.488
347,46189001,20181010,1,1,1,19.968
348,46189001,20181011,1,1,1,22.464
349,46189001,20181012,1,1,1,32.384
350,46189001,20181013,1,1,1,27.264
351,46189001,20181014,1,1,1,30.912
352,46189001,20181015,1,1,1,27.136
353,46189001,20181016,1,1,1,36.992
354,46189001,20181017,1,1,1,44.16
355,46189001,20181018,1,1,1,100.16
356,46189001,20181019,1,1,1,82.624
357,46189001,20181020,1,1,1,91.072
358,46189001,20181021,1,1,1,125.824
359,46189001,20181022,1,1,1,94.784
360,46189001,20181023,1,1,1,34.368
361,46189001,20181100,1,1,1,16.32
362,46189001,20181101,1,1,1,17.024
363,46189001,20181102,1,1,1,17.472
364,46189001,20181103,1,1,1,21.824
365,46189001,20181104,1,1,1,19.904
366,46189001,20181105,1,1,1,27.84
367,46189001,20181106,1,1,1,114.88
368,46189001,20181107,1,1,1,76.48
369,46189001,20181108,1,1,1,38.016
370,46189001,20181109,1,1,1,34.496
371,46189001,20181110,1,1,1,38.72
372,46189001,20181111,1,1,1,23.744
373,46189001,20181112,1,1,1,18.048
374,46189001,20181113,1,1,1,20.928
375,46189001,20181114,1,1,1,28.736
376,46189001,20181115,1,1,1,31.424
377,46189001,20181116,1,1,1,25.6
378,46189001,20181117,1,1,1,45.376
379,46189001,20181118,1,1,1,79.296
380,46189001,20181119,1,1,1,48.32
381,46189001,20181120,1,1,1,69.504
382,46189001,20181121,1,1,1,70.592
383,46189001,20181122,1,1,1,89.28
384,46189001,20181123,1,1,1,37.76
385,46189001,20181200,1,1,1,28.8
386,46189001,20181201,1,1,1,25.984
387,46189001,20181202,1,1,1,24.384
388,46189001,20181203,1,1,1,25.856
389,46189001,20181204,1,1,1,32
390,46189001,20181205,1,1,1,44.032
391,46189001,20181206,1,1,1,151.232
392,46189001,20181207,1,1,1,104.768
393,46189001,20181208,1,1,1,67.712
394,46189001,20181209,1,1,1,51.776
395,46189001,20181210,1,1,1,39.104
396,46189001,20181211,1,1,1,42.496
397,46189001,20181212,1,1,1,45.12
398,46189001,20181213,1,1,1,41.152
399,46189001,20181214,1,1,1,41.792
400,46189001,20181215,1,1,1,33.472
401,46189001,20181216,1,1,1,58.752
402,46189001,20181217,1,1,1,92.544
403,46189001,20181218,1,1,1,109.504
404,46189001,20181219,1,1,1,98.112
405,46189001,20181220,1,1,1,86.4
406,46189001,20181221,1,1,1,109.44
407,46189001,20181222,1,1,1,94.272
